From	To
Q9GZL7	WDR12
Q9GZT3	SLIRP
Q9GZZ1	NAA50
Q9H0A0	NAT10
Q9H0D6	XRN2
Q9H0S4	DDX47
Q9H0U4	RAB1B
Q9H1E3	NUCKS1
Q9H299	SH3BGRL3
Q9H2H8	PPIL3
Q9H2H9	SLC38A1
Q9H2M9	RAB3GAP2
Q9H2U1	DHX36
Q9H3K6	BOLA2
Q9H3K6	BOLA2B
Q9H3N1	TMX1
Q9H444	CHMP4B
Q9H4A4	RNPEP
Q9H583	HEATR1
Q9H6R4	NOL6
Q9H773	DCTPP1
Q9H7B2	RPF2
Q9H7Z7	PTGES2
Q9H845	ACAD9
Q9H8H0	NOL11
Q9H910	JPT2
Q9H9J2	MRPL44
Q9H9Z2	LIN28A
Q9HA64	FN3KRP
Q9HAV4	XPO5
